Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight_Portfolio,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version,Security_Return,Weight_Benchmark,Portfolio_Contribution,Benchmark_Contribution,Active_Weight,Active_Contribution
SECF5E25039,CUPID,Cupid Limited,Consumer Defensive,1,0.8644444444444446,0.018621254952984737,159.83999633789062,214594396188.70544,2129550510.7044053,2026-06-12,1.0.0,6.882434031960835,0.0,0.1281595588062414,0.0,0.018621254952984737,0.1281595588062414
SEC98541475,ATHERENERG,Ather Energy Limited,Consumer Cyclical,2,0.8651162790697674,0.022158026312308544,1034.1500244140625,401338390830.5786,4101349137.936835,2026-06-12,1.0.0,2.2362699543711813,0.0,0.049551328490381664,0.0,0.022158026312308544,0.049551328490381664
SEC604401C1,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,3,0.8441634241245136,0.017401209290296836,3147.10009765625,256395788769.78665,1330672150.8816895,2026-06-12,1.0.0,1.8047583224133872,0.0,0.03140497728672036,0.0,0.017401209290296836,0.03140497728672036
SECA722432A,LAURUSLABS,Laurus Labs Limited,Healthcare,4,0.8746031746031747,0.021430547404452743,1392.199951171875,755809166617.0,2304859375.517785,2026-06-12,1.0.0,1.092783879718851,0.0,0.02341895673713662,0.0,0.021430547404452743,0.02341895673713662
SECA6E1B437,BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,5,0.8315891472868218,0.017701018657958135,227.44000244140625,201700020917.55493,1145386952.1773925,2026-06-12,1.0.0,1.1841348270811767,0.0,0.020960392667701937,0.0,0.017701018657958135,0.020960392667701937
SECD3E0F146,NATIONALUM,National Aluminium Company Limited,Basic Materials,6,0.8418287937743191,0.01984674381967204,376.2000122070313,692685667257.1392,5481602198.980354,2026-06-12,1.0.0,1.0510774322652159,0.0,0.02086046453280643,0.0,0.01984674381967204,0.02086046453280643
SECACB85887,SYRMA,Syrma SGS Technology Limited,Technology,7,0.8542452830188679,0.01550990130186243,1257.5,243709111494.88354,1300762504.6022766,2026-06-12,1.0.0,1.337776189219933,0.0,0.0207487766587828,0.0,0.01550990130186243,0.0207487766587828
SEC31D4BC12,GVT&D,GE Vernova T&D India Ltd,Industrials,8,0.832807570977918,0.022655167454010246,4890.0,1253219765557.5,4744110174.789648,2026-06-12,1.0.0,1.1298896850057103,0.004684334373569225,0.025597840018363256,0.005292781089813553,0.01797083308044102,0.020305058928549703
SEC3069B975,APARINDS,APAR Industries Limited,Industrials,9,0.8430599369085173,0.021034334860252742,15300.0,612255341400.0,1849503312.0,2026-06-12,1.0.0,0.8866790741698543,0.0,0.01865070455966759,0.0,0.021034334860252742,0.01865070455966759
SEC810017B2,KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,10,0.8230283911671923,0.016529366356889636,1872.0,268952896400.0,671078758.9071411,2026-06-12,1.0.0,1.0655831107185243,0.0,0.01761341362078058,0.0,0.016529366356889636,0.01761341362078058
SEC40D715C2,HINDCOPPER,Hindustan Copper Limited,Basic Materials,11,0.8346303501945526,0.018422310696824238,508.7000122070313,491635005865.7538,2373609351.892441,2026-06-12,1.0.0,0.942584889633076,0.0,0.01736459169495231,0.0,0.018422310696824238,0.01736459169495231
SEC0BE45679,POWERINDIA,Hitachi Energy India Limited,Industrials,12,0.8406940063091483,0.02369572345568145,34185.0,1518803269225.0,7157744736.0,2026-06-12,1.0.0,0.9151449101717781,0.00567704289084123,0.021685020713304897,0.005195316906380229,0.01801868056484022,0.016489703806924667
SECE496E96D,NAVINFLUOR,Navin Fluorine International Limited,Basic Materials,13,0.8642023346303502,0.017753466911774235,7268.5,371823202750.0,1027275226.45,2026-06-12,1.0.0,0.6523594307298097,0.0,0.011581641568045553,0.0,0.017753466911774235,0.011581641568045553
SEC39245F03,POLYCAB,Polycab India Limited,Industrials,14,0.9127760252365932,0.02402013775341455,9523.0,1428950146682.0,2316271807.35,2026-06-12,1.0.0,0.5601645703658629,0.005341186337929729,0.013455230144770304,0.002991943350230423,0.01867895141548482,0.01046328679453988
SEC17154FBC,FEDERALBNK,The Federal Bank Limited,Financial Services,15,0.9012269938650308,0.02065365663362294,315.95001220703125,778449810214.7582,5735660901.565318,2026-06-12,1.0.0,0.5063866893271061,0.0,0.010458736805199143,0.0,0.02065365663362294,0.010458736805199143
SEC7FE71EB3,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,16,0.9193798449612404,0.023092627084715846,1941.199951171875,921802679687.1144,1752069513.2322204,2026-06-12,1.0.0,0.4520599454762211,0.0,0.010439251740819352,0.0,0.023092627084715846,0.010439251740819352
SEC3F90165F,RRKABEL,R R Kabel Limited,Industrials,17,0.8264984227129338,0.018110483428838434,2150.39990234375,243493536686.7297,1269464695.2124023,2026-06-12,1.0.0,0.5741481242331357,0.0,0.010398100089622874,0.0,0.018110483428838434,0.010398100089622874
SECE827CE80,ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,18,0.8549079754601226,0.012360917220704124,1756.0,290821280902.0,1474407316.2474976,2026-06-12,1.0.0,0.7752803858210588,0.0,0.009583176671969664,0.0,0.012360917220704124,0.009583176671969664
SEC681E0717,CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,19,0.8259689922480621,0.016270839270321632,8863.0,210406242060.0,497216183.9,2026-06-12,1.0.0,0.5827406732441895,0.0,0.009481679830635225,0.0,0.016270839270321632,0.009481679830635225
SEC262E8C48,KEI,KEI Industries Limited,Industrials,20,0.8534700315457413,0.020430694071626742,5309.5,507782560342.5,1303086957.135327,2026-06-12,1.0.0,0.4010296170811918,0.0,0.008193313420247447,0.0,0.020430694071626742,0.008193313420247447
SECD1C4E177,BHEL,Bharat Heavy Electricals Limited,Industrials,21,0.8473186119873817,0.022901695015588145,376.8999938964844,1296720372149.172,4193728750.906015,2026-06-12,1.0.0,0.4495951136875411,0.004846932660261426,0.010296490174170746,0.002179157240426092,0.018054762355326718,0.008117332933744654
SEC3BD55433,GPIL,Godawari Power & Ispat Limited,Basic Materials,22,0.8138132295719845,0.01607702077707663,277.29998779296875,181516682970.0,1415119810.6218064,2026-06-12,1.0.0,0.49811333726661133,0.0,0.008008178472574288,0.0,0.01607702077707663,0.008008178472574288
SEC06DCFAD7,SAIL,Steel Authority of India Limited,Basic Materials,23,0.8464980544747083,0.019960425500407337,183.8999938964844,754275225545.3625,4376503251.329583,2026-06-12,1.0.0,0.4007739544960318,0.0,0.007999618661221683,0.0,0.019960425500407337,0.007999618661221683
SECCDFD81E7,WELCORP,Welspun Corp Limited,Basic Materials,24,0.8494163424124513,0.017524270155591635,1396.5,366284755992.0,1154836042.343451,2026-06-12,1.0.0,0.45360094793034755,0.0,0.007949025554363864,0.0,0.017524270155591635,0.007949025554363864
SEC3FF4377F,MAHABANK,Bank of Maharashtra,Financial Services,25,0.8450920245398773,0.013794299673215828,86.30000305175781,659473904982.0659,1050737736.3119464,2026-06-12,1.0.0,0.5748591448503848,0.0,0.007929779313954794,0.0,0.013794299673215828,0.007929779313954794
SEC2FE15581,NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,26,0.8439922480620154,0.021201270135853042,271.0,771227796787.0096,1879164541.978723,2026-06-12,1.0.0,0.35975913622852196,0.0,0.007627350631022049,0.0,0.021201270135853042,0.007627350631022049
SECE6819099,ADANIENSOL,Adani Energy Solutions Limited,Utilities,27,0.8333333333333335,0.018243573325210836,1493.0999755859375,1792553899736.021,5095655373.06814,2026-06-12,1.0.0,0.6309120432396915,0.006700278817637036,0.011510090122601901,0.004227286599111007,0.011543294507573802,0.007282803523490895
SECBFB674BF,TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,28,0.8361111111111111,0.022279538995463546,4569.2998046875,1548083320155.3125,2354768015.4289308,2026-06-12,1.0.0,0.4338812045003817,0.005786487022510931,0.009666673215064947,0.0025106479591528704,0.016493051972952616,0.007156025255912077
SEC1317061B,HINDALCO,Hindalco Industries Limited,Basic Materials,29,0.8519455252918289,0.021085019525896143,1024.0999755859375,2295858389466.432,6406327533.871887,2026-06-12,1.0.0,0.5669632084035308,0.008581550232604845,0.01195443031965317,0.004865423252953709,0.012503469293291297,0.0070890070666994615
SEC23029172,ADANIPOWER,Adani Power Limited,Utilities,30,0.835185185185185,0.023252624001241545,220.47000122070312,4126793239582.544,8701394964.536728,2026-06-12,1.0.0,0.8494254082199704,0.015720601728598984,0.019751369634440078,0.013353478540778764,0.007532022272642561,0.006397891093661314
SEC0BDD67BA,MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,31,0.837984496124031,0.022657684790621545,143.4499969482422,1494697571482.7888,3802947477.0305176,2026-06-12,1.0.0,0.36212877251278974,0.005586939661035829,0.008204999581209486,0.0020231916015539266,0.017070745129585715,0.006181807979655559
SEC6E162A52,AETHER,Aether Industries Limited,Basic Materials,32,0.8342412451361868,0.013489740959906727,1151.800048828125,153424754893.93665,405966353.5218506,2026-06-12,1.0.0,0.44002010875147324,0.0,0.005935757284207361,0.0,0.013489740959906727,0.005935757284207361
SECA8D30DA3,CGPOWER,CG Power and Industrial Solutions Limited,Industrials,33,0.8324921135646688,0.022426706882935046,909.5999755859376,1425337215345.0,3510287698.27728,2026-06-12,1.0.0,0.32011811440372995,0.005327681780376229,0.0071791951196503185,0.0017054874456771453,0.017099025102558816,0.005473707673973174
SECD98B2F18,BSE,BSE Limited,Financial Services,34,0.8115030674846625,0.02168507995311434,4019.0,1613632028905.879,8773996818.526707,2026-06-12,1.0.0,0.33725964284014176,0.0060314975769102325,0.007313502319947261,0.0020341807185799256,0.01565358237620411,0.005279321601367335
SECC2E751BE,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,35,0.8277777777777777,0.022992122933152843,8511.0,1224398246683.5,3880171828.7,2026-06-12,1.0.0,0.23338984488841197,0.004576604161143224,0.005366128005023842,0.0010681329352848778,0.018415518772009618,0.004297995069738964
SEC59D35B99,TATASTEEL,Tata Steel Limited,Basic Materials,36,0.8655642023346303,0.021762104560095846,197.4499969482422,2461693342554.2534,6622054083.466818,2026-06-12,1.0.0,0.26830682321170873,0.009201414674930249,0.0058389211409203565,0.0024688023404841326,0.012560689885165597,0.003370118800436224
SECE38F61AD,JSWSTEEL,JSW Steel Limited,Basic Materials,37,0.8836575875486381,0.021342324873958343,1297.0999755859375,3165996605790.6978,2056179374.2716308,2026-06-12,1.0.0,0.29657348001937445,0.011833987250042663,0.006329567559573882,0.0035096467812500594,0.00950833762391568,0.002819920778323823
SEC9BFC6369,MARICO,Marico Limited,Consumer Defensive,38,0.8161111111111111,0.01885890922349914,818.5,1061839224929.95,1345999925.6837585,2026-06-12,1.0.0,0.18321391908006102,0.00396898462444112,0.003455214668412388,0.0007271732278123618,0.014889924599058019,0.002728041440600026
SEC458C7E09,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,39,0.8525193798449612,0.023228423696124444,10073.0,2812545623043.0,3390252519.075879,2026-06-12,1.0.0,0.2141946117656226,0.010512844196477456,0.004975403195518763,0.0022517945812169675,0.012715579499646988,0.002723608614301796
SEC813579CA,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,40,0.8135658914728684,0.018200104568211833,589.0,366032582500.76935,805761599.3373016,2026-06-12,1.0.0,0.14768252041232088,0.0,0.0026878373144013186,0.0,0.018200104568211833,0.0026878373144013186
SECFA5934F9,JINDALSTEL,Jindal Steel Limited,Basic Materials,41,0.8184824902723735,0.017978858162799635,1147.4000244140625,1161869682805.318,1024062529.702185,2026-06-12,1.0.0,0.1807293978789457,0.004342882423620024,0.0032493082103137463,0.0007848865254799033,0.013635975739179611,0.002464421684833843
SECBC710BBF,PHOENIXLTD,The Phoenix Mills Limited,Real Estate,42,0.8892857142857142,0.02098866569632144,1751.0,623331592608.9569,765248267.053009,2026-06-12,1.0.0,0.0974347423725328,0.0,0.0020450252348642966,0.0,0.02098866569632144,0.0020450252348642966
SECDCBF746B,SHYAMMETL,Shyam Metalics and Energy Limited,Basic Materials,43,0.8247081712062256,0.015928090480701332,986.75,274974698093.1006,698681971.9648132,2026-06-12,1.0.0,0.12761179700254632,0.0,0.002032612249061449,0.0,0.015928090480701332,0.002032612249061449
SEC6ACA80F1,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,44,0.8703470031545743,0.02397635874706965,1804.0999755859373,4125469104629.799,3373669639.0795164,2026-06-12,1.0.0,0.2300700421101607,0.01542034147962748,0.005516241866586634,0.003547758613570952,0.008556017267442168,0.001968483253015682
SEC910FE0F6,GRASIM,Grasim Industries Limited,Basic Materials,45,0.8295719844357976,0.01996675105820084,3107.5,2101928744185.5864,2760642338.060632,2026-06-12,1.0.0,0.151700307751776,0.007856672339349542,0.003028962280332167,0.0011918596117841914,0.0121100787188513,0.0018371026685479754
SEC8467BBC9,NESTLEIND,Nestlé India Limited,Consumer Defensive,46,0.821111111111111,0.022438738535261845,1383.0,2739749080011.9727,2801292064.615503,2026-06-12,1.0.0,0.14856733926672572,0.010240742400632054,0.0033336636806855988,0.0015214398505778457,0.01219799613462979,0.0018122238301077531
SEC8084428B,TITAN,Titan Company Limited,Consumer Cyclical,47,0.8125968992248063,0.022405024782387546,4124.0,3657287606980.0,3426222277.4719973,2026-06-12,1.0.0,0.17371635855973921,0.013670354172704872,0.003892119318637078,0.0023747641471042265,0.008734670609682674,0.0015173551715328515
SEC5E2FCDD9,WAAREEENER,WAAREE ENERGIES LIMITED,Technology,48,0.8099056603773584,0.019798209346551937,3023.60009765625,872676634168.4753,3060762629.659045,2026-06-12,1.0.0,0.06603345068194844,0.0,0.0013073440804764278,0.0,0.019798209346551937,0.0013073440804764278
SECE103320D,INDUSTOWER,Indus Towers Limited,Communication Services,49,0.8710526315789474,0.022585337020469245,420.8999938964844,1108015280054.4707,2733181575.117189,2026-06-12,1.0.0,0.0700393729896589,0.004141583308407321,0.001581862843673797,0.0002900738981052859,0.018443753712061924,0.001291788945568511
SEC10D35CD2,SBIN,State Bank of India,Financial Services,50,0.8302147239263803,0.023272599684859244,1014.5,4126793239582.544,8773996818.526707,2026-06-12,1.0.0,0.2640431297675674,0.03487174514655219,0.006144970058617937,0.009207644728952618,-0.011599145461692946,-0.0030626746703346806
